id,year,school_name,jibun,road,school_code,region_code,graduate,general,characterization,science,foreigner,art,meister,private,public,etc,job,nothing,data_type,created_at,deleted_at,updated_at
533,2016,강북중학교,서울특별시 강북구 수유3동 #694,서울특별시 강북구 한천로150길 67,B100002263,1130510300,98.0,41.0,24.0,0.0,0.0,0.0,1.0,19.0,11.0,1.0,0.0,1.0,남,2018-04-28 14:40:22.430262,,2018-04-28 14:40:22.430266
534,2016,강북중학교,서울특별시 강북구 수유3동 #694,서울특별시 강북구 한천로150길 67,B100002263,1130510300,128.0,79.0,36.0,0.0,1.0,1.0,3.0,1.0,7.0,0.0,0.0,0.0,여,2018-04-28 14:40:22.434181,,2018-04-28 14:40:22.434186
535,2016,강북중학교,서울특별시 강북구 수유3동 #694,서울특별시 강북구 한천로150길 67,B100002263,1130510300,226.0,120.0,60.0,0.0,1.0,1.0,4.0,20.0,18.0,1.0,0.0,1.0,총합,2018-04-28 14:40:22.436310,,2018-04-28 14:40:22.436314
536,2016,강북중학교,서울특별시 강북구 수유3동 #694,서울특별시 강북구 한천로150길 67,B100002263,1130510300,0.0,53.1,26.5,0.0,0.4,0.4,1.8,0.0,8.0,0.4,0.0,0.4,통계,2018-04-28 14:40:22.438146,,2018-04-28 14:40:22.438150
537,2016,미양중학교,서울특별시 강북구 미아동  #837-735,서울특별시 강북구 인수봉로 39,B100005516,1130510100,90.0,46.0,23.0,0.0,0.0,1.0,7.0,12.0,0.0,1.0,0.0,0.0,남,2018-04-28 14:40:23.616925,,2018-04-28 14:40:23.616929
538,2016,미양중학교,서울특별시 강북구 미아동  #837-735,서울특별시 강북구 인수봉로 39,B100005516,1130510100,118.0,76.0,33.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,여,2018-04-28 14:40:23.620013,,2018-04-28 14:40:23.620017
539,2016,미양중학교,서울특별시 강북구 미아동  #837-735,서울특별시 강북구 인수봉로 39,B100005516,1130510100,208.0,122.0,56.0,0.0,6.0,1.0,7.0,13.0,0.0,3.0,0.0,0.0,총합,2018-04-28 14:40:23.622033,,2018-04-28 14:40:23.622036
540,2016,미양중학교,서울특별시 강북구 미아동  #837-735,서울특별시 강북구 인수봉로 39,B100005516,1130510100,0.0,58.7,26.9,0.0,2.9,0.5,3.4,0.0,0.0,1.4,0.0,0.0,통계,2018-04-28 14:40:23.623928,,2018-04-28 14:40:23.623932
541,2016,번동중학교,서울특별시 강북구 번동 #231번지,서울특별시 강북구 오현로35길 87,B100002268,1130510200,142.0,75.0,37.0,1.0,2.0,0.0,2.0,20.0,2.0,2.0,0.0,1.0,남,2018-04-28 14:40:24.775252,,2018-04-28 14:40:24.775255
542,2016,번동중학교,서울특별시 강북구 번동 #231번지,서울특별시 강북구 오현로35길 87,B100002268,1130510200,137.0,98.0,35.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,여,2018-04-28 14:40:24.777815,,2018-04-28 14:40:24.777819
