id,jibun,road,year,school_code,region_code,graduate,general,characterization,science,foreigner,art,meister,private,public,etc,job,nothing,data_type,created_at,deleted_at,updated_at,school_name
273,서울특별시 강북구 수유3동 #694,서울특별시 강북구 한천로150길 67,2017,B100002263,1130510300,76.0,39.0,13.0,1.0,0.0,1.0,2.0,8.0,12.0,0.0,0.0,0.0,남,2018-04-21 02:20:41.551437,,2018-04-21 02:20:41.551440,강북중학교
274,서울특별시 강북구 수유3동 #694,서울특별시 강북구 한천로150길 67,2017,B100002263,1130510300,116.0,68.0,30.0,0.0,3.0,0.0,0.0,3.0,10.0,2.0,0.0,0.0,여,2018-04-21 02:20:41.558517,,2018-04-21 02:20:41.558522,강북중학교
275,서울특별시 강북구 수유3동 #694,서울특별시 강북구 한천로150길 67,2017,B100002263,1130510300,192.0,107.0,43.0,1.0,3.0,1.0,2.0,11.0,22.0,2.0,0.0,0.0,총합,2018-04-21 02:20:41.560661,,2018-04-21 02:20:41.560665,강북중학교
276,서울특별시 강북구 수유3동 #694,서울특별시 강북구 한천로150길 67,2017,B100002263,1130510300,0.0,55.7,22.4,0.5,1.6,0.5,1.0,0.0,11.5,1.0,0.0,0.0,통계,2018-04-21 02:20:41.562615,,2018-04-21 02:20:41.562619,강북중학교
277,서울특별시 강북구 미아동  #837-735,서울특별시 강북구 인수봉로 39,2017,B100005516,1130510100,110.0,50.0,21.0,1.0,3.0,0.0,2.0,11.0,21.0,1.0,0.0,0.0,남,2018-04-21 02:20:42.711435,,2018-04-21 02:20:42.711444,미양중학교
278,서울특별시 강북구 미아동  #837-735,서울특별시 강북구 인수봉로 39,2017,B100005516,1130510100,102.0,57.0,24.0,0.0,2.0,1.0,0.0,5.0,13.0,0.0,0.0,0.0,여,2018-04-21 02:20:42.714369,,2018-04-21 02:20:42.714373,미양중학교
279,서울특별시 강북구 미아동  #837-735,서울특별시 강북구 인수봉로 39,2017,B100005516,1130510100,212.0,107.0,45.0,1.0,5.0,1.0,2.0,16.0,34.0,1.0,0.0,0.0,총합,2018-04-21 02:20:42.716209,,2018-04-21 02:20:42.716213,미양중학교
280,서울특별시 강북구 미아동  #837-735,서울특별시 강북구 인수봉로 39,2017,B100005516,1130510100,0.0,50.5,21.2,0.5,2.4,0.5,0.9,0.0,16.0,0.5,0.0,0.0,통계,2018-04-21 02:20:42.717907,,2018-04-21 02:20:42.717910,미양중학교
281,서울특별시 강북구 번동 #231번지,서울특별시 강북구 오현로35길 87,2017,B100002268,1130510200,100.0,57.0,30.0,1.0,2.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,남,2018-04-21 02:20:43.886066,,2018-04-21 02:20:43.886070,번동중학교
282,서울특별시 강북구 번동 #231번지,서울특별시 강북구 오현로35길 87,2017,B100002268,1130510200,135.0,72.0,61.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-21 02:20:43.893954,,2018-04-21 02:20:43.893958,번동중학교
