id,jibun,road,year,school_code,region_code,graduate,general,characterization,science,foreigner,art,meister,private,public,etc,job,nothing,data_type,created_at,deleted_at,updated_at,school_name
325,서울특별시 노원구 공릉동  #250번지 (화랑대역길 22),서울특별시 노원구 노원로1길 42,2017,B100001696,1135010300,161.0,127.0,25.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,남,2018-04-23 15:46:04.945451,,2018-04-23 15:46:04.945456,공릉중학교
326,서울특별시 노원구 공릉동  #250번지 (화랑대역길 22),서울특별시 노원구 노원로1길 42,2017,B100001696,1135010300,157.0,107.0,37.0,0.0,8.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,여,2018-04-23 15:46:04.948701,,2018-04-23 15:46:04.948705,공릉중학교
327,서울특별시 노원구 공릉동  #250번지 (화랑대역길 22),서울특별시 노원구 노원로1길 42,2017,B100001696,1135010300,318.0,234.0,62.0,0.0,8.0,2.0,0.0,5.0,4.0,3.0,0.0,0.0,총합,2018-04-23 15:46:04.950694,,2018-04-23 15:46:04.950698,공릉중학교
328,서울특별시 노원구 공릉동  #250번지 (화랑대역길 22),서울특별시 노원구 노원로1길 42,2017,B100001696,1135010300,0.0,73.6,19.5,0.0,2.5,0.6,0.0,0.0,1.3,0.9,0.0,0.0,통계,2018-04-23 15:46:04.969818,,2018-04-23 15:46:04.969826,공릉중학교
329,서울특별시 노원구 월계동  #500번지,서울특별시 노원구 광운로1길 24,2017,B100001697,1135010200,168.0,89.0,39.0,1.0,2.0,0.0,0.0,35.0,0.0,1.0,0.0,1.0,남,2018-04-23 15:46:06.146113,,2018-04-23 15:46:06.146117,광운중학교
330,서울특별시 노원구 월계동  #500번지,서울특별시 노원구 광운로1길 24,2017,B100001697,1135010200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-23 15:46:06.148992,,2018-04-23 15:46:06.149005,광운중학교
331,서울특별시 노원구 월계동  #500번지,서울특별시 노원구 광운로1길 24,2017,B100001697,1135010200,168.0,89.0,39.0,1.0,2.0,0.0,0.0,35.0,0.0,1.0,0.0,1.0,총합,2018-04-23 15:46:06.160509,,2018-04-23 15:46:06.160514,광운중학교
332,서울특별시 노원구 월계동  #500번지,서울특별시 노원구 광운로1길 24,2017,B100001697,1135010200,0.0,53.0,23.2,0.6,1.2,0.0,0.0,0.0,0.0,0.6,0.0,0.6,통계,2018-04-23 15:46:06.162651,,2018-04-23 15:46:06.162655,광운중학교
333,서울특별시 노원구 월계동 #321-7번지,서울특별시 노원구 월계로 376,2017,B100001701,1135010200,53.0,25.0,17.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,남,2018-04-23 15:46:07.344245,,2018-04-23 15:46:07.344249,녹천중학교
334,서울특별시 노원구 월계동 #321-7번지,서울특별시 노원구 월계로 376,2017,B100001701,1135010200,135.0,88.0,37.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,여,2018-04-23 15:46:07.346730,,2018-04-23 15:46:07.346735,녹천중학교
