id,jibun,road,year,school_code,region_code,graduate,general,characterization,science,foreigner,art,meister,private,public,etc,job,nothing,data_type,created_at,deleted_at,updated_at,school_name
1,서울특별시 노원구 하계동  #288-3번지,서울특별시 노원구 한글비석로5길 45,2017,B100001706,1135010400,194.0,153.0,8.0,4.0,4.0,1.0,0.0,22.0,0.0,1.0,0.0,1.0,남,2018-04-20 15:31:41.416216,,2018-04-20 15:31:41.416224,불암중학교
2,서울특별시 노원구 하계동  #288-3번지,서울특별시 노원구 한글비석로5길 45,2017,B100001706,1135010400,165.0,128.0,11.0,2.0,16.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,여,2018-04-20 15:31:41.419895,,2018-04-20 15:31:41.419901,불암중학교
3,서울특별시 노원구 하계동  #288-3번지,서울특별시 노원구 한글비석로5길 45,2017,B100001706,1135010400,359.0,281.0,19.0,6.0,20.0,5.0,0.0,26.0,0.0,1.0,0.0,1.0,총합,2018-04-20 15:31:41.421641,,2018-04-20 15:31:41.421644,불암중학교
4,서울특별시 노원구 하계동  #288-3번지,서울특별시 노원구 한글비석로5길 45,2017,B100001706,1135010400,0.0,78.3,5.3,1.7,5.6,1.4,0.0,0.0,0.0,0.3,0.0,0.3,통계,2018-04-20 15:31:41.423306,,2018-04-20 15:31:41.423311,불암중학교
5,서울특별시 노원구 하계동 #271-2번지(중평1길 43번지),서울특별시 노원구 동일로203길 87,2017,B100001725,1135010400,176.0,136.0,23.0,3.0,3.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,남,2018-04-20 15:31:41.588957,,2018-04-20 15:31:41.588961,중평중학교
6,서울특별시 노원구 하계동 #271-2번지(중평1길 43번지),서울특별시 노원구 동일로203길 87,2017,B100001725,1135010400,167.0,127.0,22.0,0.0,9.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,여,2018-04-20 15:31:41.591835,,2018-04-20 15:31:41.591839,중평중학교
7,서울특별시 노원구 하계동 #271-2번지(중평1길 43번지),서울특별시 노원구 동일로203길 87,2017,B100001725,1135010400,343.0,263.0,45.0,3.0,12.0,3.0,4.0,13.0,0.0,0.0,0.0,0.0,총합,2018-04-20 15:31:41.593832,,2018-04-20 15:31:41.593836,중평중학교
8,서울특별시 노원구 하계동 #271-2번지(중평1길 43번지),서울특별시 노원구 동일로203길 87,2017,B100001725,1135010400,0.0,76.7,13.1,0.9,3.5,0.9,1.2,0.0,0.0,0.0,0.0,0.0,통계,2018-04-20 15:31:41.595637,,2018-04-20 15:31:41.595641,중평중학교
9,서울특별시 노원구 하계동 #231-4,서울 노원구 노원로 261-8,2017,B100001731,1135010400,256.0,206.0,24.0,7.0,0.0,2.0,3.0,14.0,0.0,0.0,0.0,0.0,남,2018-04-20 15:31:41.747098,,2018-04-20 15:31:41.747102,하계중학교
10,서울특별시 노원구 하계동 #231-4,서울 노원구 노원로 261-8,2017,B100001731,1135010400,190.0,152.0,27.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,여,2018-04-20 15:31:41.749762,,2018-04-20 15:31:41.749766,하계중학교
11,서울특별시 노원구 하계동 #231-4,서울 노원구 노원로 261-8,2017,B100001731,1135010400,446.0,358.0,51.0,7.0,8.0,3.0,3.0,16.0,0.0,0.0,0.0,0.0,총합,2018-04-20 15:31:41.751579,,2018-04-20 15:31:41.751590,하계중학교
12,서울특별시 노원구 하계동 #231-4,서울 노원구 노원로 261-8,2017,B100001731,1135010400,0.0,80.3,11.4,1.6,1.8,0.7,0.7,0.0,0.0,0.0,0.0,0.0,통계,2018-04-20 15:31:41.753472,,2018-04-20 15:31:41.753477,하계중학교
13,서울특별시 노원구 상계동  #743번지,서울특별시 노원구 동일로213길 26,2017,B100001699,1135010500,105.0,80.0,11.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,남,2018-04-20 15:31:47.154588,,2018-04-20 15:31:47.154592,노원중학교
14,서울특별시 노원구 상계동  #743번지,서울특별시 노원구 동일로213길 26,2017,B100001699,1135010500,93.0,72.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,여,2018-04-20 15:31:47.158004,,2018-04-20 15:31:47.158008,노원중학교
15,서울특별시 노원구 상계동  #743번지,서울특별시 노원구 동일로213길 26,2017,B100001699,1135010500,198.0,152.0,31.0,1.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,총합,2018-04-20 15:31:47.159842,,2018-04-20 15:31:47.159846,노원중학교
