id,jibun,road,year,school_code,region_code,graduate,general,characterization,science,foreigner,art,meister,private,public,etc,job,nothing,data_type,created_at,deleted_at,updated_at,school_name
149,서울특별시 성북구 돈암동  #83번지 145호,서울특별시 성북구 북악산로 935,2017,B100005271,1129010300,90.0,53.0,10.0,1.0,1.0,0.0,3.0,20.0,1.0,1.0,0.0,0.0,남,2018-04-20 23:20:28.566468,,2018-04-20 23:20:28.566471,개운중학교
150,서울특별시 성북구 돈암동  #83번지 145호,서울특별시 성북구 북악산로 935,2017,B100005271,1129010300,136.0,94.0,23.0,0.0,5.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,여,2018-04-20 23:20:28.569571,,2018-04-20 23:20:28.569575,개운중학교
151,서울특별시 성북구 돈암동  #83번지 145호,서울특별시 성북구 북악산로 935,2017,B100005271,1129010300,226.0,147.0,33.0,1.0,6.0,2.0,3.0,31.0,1.0,2.0,0.0,0.0,총합,2018-04-20 23:20:28.571285,,2018-04-20 23:20:28.571289,개운중학교
152,서울특별시 성북구 돈암동  #83번지 145호,서울특별시 성북구 북악산로 935,2017,B100005271,1129010300,0.0,65.0,14.6,0.4,2.7,0.9,1.3,0.0,0.4,0.9,0.0,0.0,통계,2018-04-20 23:20:28.573022,,2018-04-20 23:20:28.573025,개운중학교
153,서울특별시 성북구 정릉동  #산1-2번지,서울특별시 성북구 정릉로 161,2017,B100002264,1129013300,156.0,111.0,20.0,1.0,1.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,남,2018-04-20 23:20:29.769387,,2018-04-20 23:20:29.769450,고려대학교사범대학부속중학교
154,서울특별시 성북구 정릉동  #산1-2번지,서울특별시 성북구 정릉로 161,2017,B100002264,1129013300,151.0,113.0,30.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,여,2018-04-20 23:20:29.772113,,2018-04-20 23:20:29.772117,고려대학교사범대학부속중학교
155,서울특별시 성북구 정릉동  #산1-2번지,서울특별시 성북구 정릉로 161,2017,B100002264,1129013300,307.0,224.0,50.0,1.0,4.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,총합,2018-04-20 23:20:29.773958,,2018-04-20 23:20:29.773962,고려대학교사범대학부속중학교
156,서울특별시 성북구 정릉동  #산1-2번지,서울특별시 성북구 정릉로 161,2017,B100002264,1129013300,0.0,73.0,16.3,0.3,1.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,통계,2018-04-20 23:20:29.775767,,2018-04-20 23:20:29.775770,고려대학교사범대학부속중학교
157,서울특별시 성북구 돈암동 #45-88번지,서울특별시 성북구 북악산로 870,2017,B100002265,1129010300,178.0,114.0,20.0,1.0,5.0,0.0,1.0,36.0,0.0,1.0,0.0,0.0,남,2018-04-20 23:20:30.936654,,2018-04-20 23:20:30.936658,고명중학교
158,서울특별시 성북구 돈암동 #45-88번지,서울특별시 성북구 북악산로 870,2017,B100002265,1129010300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,여,2018-04-20 23:20:30.939188,,2018-04-20 23:20:30.939192,고명중학교
